name,gender,ratio,females,males,total
Jean,F,90,128409,14798,143207
Terri,F,99,141362,892,142254
Mike,M,100,443,141177,141620
Beth,F,100,141219,325,141544
Jenna,F,100,141025,257,141282
Shelby,F,93,130370,10436,140806
Destiny,F,100,140222,468,140690
Derrick,M,99,997,139141,140138
Jon,M,99,915,138741,139656
Micheal,M,99,1723,137424,139147
Joan,F,97,134830,4057,138887
Heidi,F,100,138231,361,138592
Wanda,F,100,138048,491,138539
Marie,F,99,137164,706,137870
Colleen,F,100,137370,307,137677
Liam,M,100,233,137176,137409
Ella,F,100,136665,195,136860
Peggy,F,100,136360,312,136672
Harold,M,100,678,135970,136648
Barry,M,100,600,135800,136400
Marilyn,F,100,135183,380,135563
Carla,F,100,134874,415,135289
Dorothy,F,100,134698,420,135118
Regina,F,100,133563,490,134053
Avery,F,68,90945,43032,133977
Sabrina,F,100,133417,348,133765
Kristina,F,100,133395,352,133747
Lillian,F,100,133332,242,133574
Ronnie,M,96,4821,128679,133500
Brent,M,100,561,132619,133180
Dominic,M,99,1129,131677,132806
Paige,F,99,131460,925,132385
Lindsay,F,98,128164,3226,131390
Marc,M,100,513,130852,131365
Gail,F,98,128911,2079,130990
Cory,M,95,6390,124337,130727
Ellen,F,100,130079,280,130359
Landon,M,99,687,128903,129590
Ricardo,M,99,697,128599,129296
Darlene,F,100,128756,344,129100
Owen,M,100,314,128416,128730
Vicki,F,100,128169,250,128419
Melinda,F,100,127767,337,128104
Gabrielle,F,99,127389,705,128094
Katelyn,F,100,127809,161,127970
Helen,F,100,127497,401,127898
Anita,F,100,127253,387,127640
Tamara,F,100,127167,417,127584
Mario,M,99,1006,125762,126768
Frederick,M,99,672,125877,126549
Ralph,M,100,553,125561,126114
Manuel,M,99,786,125189,125975
Calvin,M,99,787,124668,125455
Alice,F,100,124594,354,124948
Jorge,M,99,689,122452,123141
Dean,M,99,861,122199,123060
Alejandro,M,99,841,122036,122877
Garrett,M,100,451,122299,122750
Oscar,M,99,632,121926,122558
Darrell,M,99,847,121622,122469
Erika,F,100,121814,548,122362
Stanley,M,100,583,121516,122099
Cole,M,100,423,121434,121857
Madeline,F,100,121449,170,121619
Mackenzie,F,94,114255,7227,121482
Edwin,M,99,638,120528,121166
Claire,F,100,119687,313,120000
Tonya,F,100,119155,435,119590
Eddie,M,98,2892,116147,119039
Annette,F,100,118221,350,118571
Marissa,F,100,117620,270,117890
Carter,M,97,3172,114163,117335
Eugene,M,99,793,115936,116729
Wyatt,M,100,244,116260,116504
Xavier,M,99,814,115558,116372
Rita,F,100,116031,289,116320
Andre,M,98,1978,114134,116112
Colin,M,100,430,114830,115260
Francisco,M,99,803,114186,114989
Tanya,F,100,113538,405,113943
Jaime,M,57,49400,64380,113780
Deanna,F,100,113306,227,113533
Faith,F,100,113149,216,113365
Kaylee,F,100,112670,169,112839
Sebastian,M,100,262,110624,110886
Leonard,M,99,563,110195,110758
Caitlin,F,100,110413,283,110696
Marvin,M,99,719,109917,110636
Elaine,F,100,110076,236,110312
Lily,F,100,110186,122,110308
Dakota,M,75,27741,82298,110039
Tommy,M,99,1462,108537,109999
Joanne,F,100,109419,220,109639
Frances,F,99,107962,1187,109149
Autumn,F,100,108197,264,108461
Brandy,F,98,105850,2205,108055
Alexa,F,100,107727,241,107968
